comm,nodes,edges,stops_as_trajectories,stops_as_users,pois,poi_types,avg_distance,moves_as_trajectories,moves_as_users,avg_stop_time,avg_move_time,comm,ce,te,cp
1,2,1,173,129,10,3,6.82060514570621,1,1,1.14929401268088419029,0.623333611157205,1,1,8,0.12500000000000000000
102,4,3,202,161,21,8,9.6082587713199,1,1,0.97795794508772666419,1.36555611113707,102,3,9,0.33333333333333333333
107,2,1,110,96,6,2,1.1816102185104,1,1,1.03016770222994870526,3.63166777776347,107,1,5,0.20000000000000000000
109,5,7,192,119,20,5,0.431393886315413,19,14,1.09706927199000447793,1.4706279433271,109,7,19,0.36842105263157894737
11,2,1,97,72,7,4,6.65721063557556,1,1,0.94674751522815032193,0.679444999959734,11,1,4,0.25000000000000000000
110,2,1,148,118,6,3,6.55698181042941,1,1,1.00456168210989850408,0.623333611157205,110,1,8,0.12500000000000000000
112,3,2,203,176,13,6,3.50661044343063,3,3,1.09613179871660387383,0.486320069448815,112,2,8,0.25000000000000000000
16,2,1,131,105,7,3,6.63250969111922,1,1,1.06702062560542736718,0.623333611157205,16,1,8,0.12500000000000000000
19,2,1,99,72,6,5,6.74744144305272,1,1,0.97687992934516588868,0.679444999959734,19,1,4,0.25000000000000000000
22,3,6,98,80,12,6,0.122173987053752,13,8,1.20496312542670489011,0.197906247490491,22,6,18,0.33333333333333333333
23,2,1,138,117,6,5,1.75230440169228,1,1,1.03284544159544159636,0.574722500046094,23,1,3,0.33333333333333333333
28,4,3,212,174,20,9,2.07803116458152,1,1,0.93919471184236338173,0.2936116666264,28,3,8,0.37500000000000000000
29,2,1,168,118,13,6,8.70505172239271,1,1,1.09694729752875424873,1.85916750000583,29,1,3,0.33333333333333333333
34,3,6,128,103,12,8,0.152443246927073,7,6,0.91152145810423526392,0.692329157381146,34,6,18,0.33333333333333333333
35,2,1,179,136,10,6,4.61613472820298,1,1,0.97855083312938489075,8.3188911110825,35,1,3,0.33333333333333333333
47,4,3,278,184,22,8,9.66443646437846,1,1,1.24054560378136319740,1.61722305556138,47,3,7,0.42857142857142857143
49,4,3,184,153,15,6,3.72336452116673,2,2,1.17257348615287806668,1.13990833335453,49,3,8,0.37500000000000000000
51,2,2,88,67,9,6,0.357531064304388,2,2,1.12424772689356022689,0.152639305525356,51,2,5,0.40000000000000000000
53,2,1,141,96,9,5,6.93909665666933,1,1,1.05915331642062271178,0.679444999959734,53,1,4,0.25000000000000000000
65,4,3,201,159,21,8,2.87453890325083,3,3,1.33672500501443550187,4.63296425923153,65,3,8,0.37500000000000000000
67,2,1,139,96,10,4,6.84890616214066,1,1,1.02902090230360714503,0.679444999959734,67,1,4,0.25000000000000000000
68,2,1,112,88,6,5,2.46132075493211,1,1,1.28108370217745217514,1.34027833329307,68,1,3,0.33333333333333333333
70,2,1,127,112,10,6,3.14088057604586,1,1,1.14678907633996621962,0.74833388891485,70,1,5,0.20000000000000000000
79,2,1,142,127,10,7,3.2352010073707,1,1,1.12659642401021711527,0.74833388891485,79,1,5,0.20000000000000000000
81,2,1,156,110,11,5,10.2211102844649,1,1,1.20021067144215597213,3.96527833329307,81,1,3,0.33333333333333333333
87,2,1,171,125,11,6,10.3008399883675,1,1,1.18001801911240686779,3.96527833329307,87,1,3,0.33333333333333333333
94,2,1,190,142,9,3,6.74540008465336,1,1,1.08683506918535532718,0.623333611157205,94,1,8,0.12500000000000000000
98,2,1,125,110,6,4,1.26752136996693,1,1,1.00997504990019960092,3.63166777776347,98,1,5,0.20000000000000000000
